word,count
mother,66
Einstein,59
dog,52
government,40
president,29
time,16
people,14
world,12
Albert Einstein,12
way,9
idea,8
universe,7
federal government,7
cat,7
things,6
picture,6
life,6
father,6
fact,6
President Obama,6
women,5
science,5
point,5
person,5
general theory of relativity,5
dollars,5
children,5
baby,5
China's government,5
work,4
woman,4
space,4
problem,4
president of the United States,4
name,4
months,4
kids,4
example,4
energy,4
country,4
case,4
bell,4
Sun,4
Dog barking,4
Congress,4
words,3
war,3
times,3
talk,3
stories,3
statement,3
solution,3
scientist,3
schools,3
protest,3
process,3
phone,3
new president,3
man,3
kind,3
house,3
hospitals,3
hope,3
home,3
grandmother,3
first time,3
end,3
day,3
community,3
child,3
brain,3
action,3
SB,3
President Bush,3
Laughter,3
Iranian government,3
Einstein's equations,3
Dr,3
China,3
youth,2
video,2
trees,2
treaty,2
thought,2
theory of physics,2
theory of general relativity,2
theory,2
system,2
students,2
spring boinging,2
soil,2
small elite,2
sister,2
single mother,2
school,2
robots,2
researchers,2
research,2
report,2
relativity,2
reasons,2
real government,2
question,2
quantum mechanics,2
public,2
protesters,2
problems,2
power,2
poor dog,2
place,2
pig,2
part,2
paper,2
office,2
objects,2
object,2
night,2
next Albert Einstein,2
network,2
mother seals,2
moment,2
mom,2
mind,2
middle,2
message,2
mental illness,2
meetings,2
mc2,2
market,2
love,2
leader,2
last year,2
kilometers,2
job,2
issues,2
issue,2
instance,2
information,2
industry,2
hospital,2
hands of the government,2
groups,2
gravity,2
grandpa,2
government entity,2
government agencies,2
girls,2
girl,2
funding,2
friends,2
freeway,2
families,2
face,2
fabric,2
election,2
ears,2
dog kennel,2
dog food,2
dinner,2
dictatorship,2
dementia,2
deep learning network,2
days,2
data,2
countries,2
couch,2
conversation,2
conscious ignorance,2
computer,2
company,2
citizens,2
choice,2
childhood,2
car,2
can of dog food,2
brother,2
boy,2
black hole,2
attention,2
areas,2
approach,2
apocryphal quote,2
age,2
WhatsApp,2
Washington,2
US government,2
US Senate,2
Togo,2
